annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2010126;MERCREDI;20101020;20101220;13;24;33;18;11;7;11-13-18-24-33+7;0;0;1;320670,6;771;677,6;30929;7,3;380317;4,2;757727;2;4 892 062;eur;
2010125;LUNDI   ;20101018;20101218;1;31;38;26;29;5;1-26-29-31-38+5;0;0;0;0;228;2420,1;11943;12,3;188283;5,6;364386;2;7 631 737;eur;
2010124;SAMEDI  ;20101016;20101216;37;22;46;13;1;9;1-13-22-37-46+9;0;0;7;59741,9;707;963,7;28975;10,1;409516;5,1;523491;2;4 138 418;eur;
2010123;MERCREDI;20101013;20101213;33;22;9;44;25;3;9-22-25-33-44+3;1;2000000;2;165441,4;633;851,6;25830;9;335553;4,9;493018;2;6 979 677;eur;
2010122;LUNDI   ;20101011;20101211;9;20;35;4;1;8;1-4-9-20-35+8;1;8000000;2;119865,4;496;787,4;20590;8,2;262064;4,6;325473;2;4 976 216;eur;
2010121;SAMEDI  ;20101009;20101209;17;43;23;2;26;3;2-17-23-26-43+3;0;0;2;224415,4;692;1056,7;31555;10;441666;5,1;661815;2;1 931 335;eur;
2010120;MERCREDI;20101006;20101206;33;6;43;25;37;1;6-25-33-37-43+1;0;0;1;343179,7;467;1197,3;19084;12,6;289267;5,9;345845;2;3 682 867;eur;
2010119;LUNDI   ;20101004;20101204;7;46;31;29;9;8;7-9-29-31-46+8;0;0;1;219034,2;362;985,8;16901;9,1;239840;4,6;294557;2;2 374 644;eur;
2010118;SAMEDI  ;20101002;20101202;35;13;16;41;7;1;7-13-16-35-41+1;0;0;5;85974,6;628;1115,2;30742;9,8;445802;4,8;427272;2;6 332 247;eur;
2010117;MERCREDI;20100929;20101129;41;32;33;25;26;3;25-26-32-33-41+3;0;0;1;317282,2;254;2035,2;13972;16;241207;6,6;475892;2;0 824 672;eur;
2010116;LUNDI   ;20100927;20101127;15;1;23;22;46;9;1-15-22-23-46+9;0;0;0;0;307;1737,1;14142;10,1;202721;5;256791;2;5 301 459;eur;
2010115;SAMEDI  ;20100925;20101125;42;5;12;29;21;2;5-12-21-29-42+2;1;5000000;8;53067,1;997;693,7;38547;7,7;472002;4,5;455324;2;2 172 664;eur;
2010114;MERCREDI;20100922;20101122;37;38;2;14;17;1;2-14-17-37-38+1;0;0;2;163213,4;330;1611,6;17459;13,1;285861;5,7;325833;2;3 580 316;eur;
2010113;LUNDI   ;20100920;20101120;1;37;25;45;17;9;1-17-25-37-45+9;0;0;2;104944,9;318;1075,3;13247;11,1;193687;5,4;278227;2;9 902 934;eur;
2010112;SAMEDI  ;20100918;20101118;7;43;33;11;1;1;1-7-11-33-43+1;0;0;1;414705,9;912;740,8;37097;7,8;471018;4,4;425449;2;2 494 543;eur;
2010111;MERCREDI;20100915;20101115;40;1;30;8;38;6;1-8-30-38-40+6;1;4000000;6;53703,3;398;1319;19320;11,7;290753;5,5;456414;2;6 949 264;eur;
2010110;LUNDI   ;20100913;20101113;33;39;25;43;8;8;8-25-33-39-43+8;0;0;1;197905,4;240;1343,5;10696;13;167926;5,9;265767;2;5 938 402;eur;
2010109;SAMEDI  ;20100911;20101111;36;41;45;13;7;5;7-13-36-41-45+5;0;0;2;220933,3;790;911,3;30330;10,2;435130;5,1;763059;2;9 459 284;eur;
2010108;MERCREDI;20100908;20101108;24;47;21;44;13;3;13-21-24-44-47+3;2;3000000;2;244161,5;853;932,7;37288;9,2;489439;5;706428;2;5 182 392;eur;
2010107;LUNDI   ;20100906;20101106;29;22;17;19;43;8;17-19-22-29-43+8;0;0;1;222049,5;389;930;16783;9,3;228942;4,8;309918;2;0 035 616;eur;
2010106;SAMEDI  ;20100904;20101104;11;42;9;49;15;3;9-11-15-42-49+3;1;10000000;2;254006,8;864;957,9;40258;8,9;563868;4,5;742727;2;1 151 041;eur;
2010105;MERCREDI;20100901;20101101;20;39;33;21;16;2;16-20-21-33-39+2;0;0;2;192649,9;377;1665,1;19860;13,6;327728;5,9;409120;2;5 668 612;eur;
2010104;LUNDI   ;20100830;20101030;22;49;28;3;16;4;3-16-22-28-49+4;0;0;4;59536,2;497;780,7;19813;8,4;249979;4,8;360620;2;2 366 956;eur;
2010103;SAMEDI  ;20100828;20101028;13;16;18;20;19;2;13-16-18-19-20+2;0;0;12;38353,3;999;750,6;36078;9;500071;4,6;497282;2;7 913 543;eur;
2010102;MERCREDI;20100825;20101025;39;49;23;19;36;3;19-23-36-39-49+3;0;0;1;333085,4;584;929,2;21742;10,8;296711;5,6;497595;2;1 784 857;eur;
2010101;LUNDI   ;20100823;20101023;49;41;9;28;16;5;9-16-28-41-49+5;0;0;1;215335,8;305;1150,3;14511;10,4;210918;5,1;364784;2;1 821 256;eur;
